Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Coinbase,eth_usd,350.35,1601888058.848152,350.34,0,350.35,0,347.93
Coinbase,btc_usd,10675.47,1601888058.848962,10675.46,0,10675.47,0,10601.72
Coinbase,eth_eur,298.62,1601888058.849318,298.59,0,298.62,0,297.51
Coinbase,btc_eur,9100.54,1601888058.849701,9098.31,0,9100.54,0,9065.59
Coinbase,eth_eur,298.68,1601888061.760479,298.59,0,298.69,0,297.51
Coinbase,eth_eur,298.69,1601888061.761034,298.59,0,298.69,0,297.51
Coinbase,eth_usd,350.25,1601888066.285808,350.24,0,350.25,0,347.93
Coinbase,eth_usd,350.25,1601888067.542596,350.24,0,350.31,0,347.93
Coinbase,eth_usd,350.29,1601888067.703569,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888067.904577,350.29,0,350.3,0,347.93
Coinbase,eth_eur,298.56,1601888069.676777,298.56,0,298.72,0,297.51
Coinbase,btc_usd,10675.69,1601888070.187614,10675.68,0,10675.69,0,10601.72
Coinbase,eth_usd,350.3,1601888071.390065,350.29,0,350.3,0,347.93
Coinbase,btc_eur,9100.13,1601888072.46752,9098.32,0,9100.35,0,9065.59
Coinbase,btc_eur,9100.35,1601888072.469808,9098.32,0,9100.35,0,9065.59
Coinbase,btc_usd,10675.69,1601888074.046801,10675.68,0,10675.69,0,10601.72
Coinbase,eth_usd,350.3,1601888074.063471,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.3,1601888078.207971,350.29,0,350.3,0,347.93
Coinbase,btc_usd,10675.69,1601888078.322175,10675.68,0,10675.69,0,10601.72
Coinbase,btc_eur,9100.02,1601888088.96535,9097.49,0,9100.02,0,9065.59
Coinbase,btc_eur,9100.02,1601888088.966147,9097.49,0,9100.02,0,9065.59
Coinbase,eth_usd,350.3,1601888089.250182,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.3,1601888089.250649,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.3,1601888089.251275,350.29,0,350.3,0,347.93
Coinbase,btc_usd,10675.69,1601888094.885096,10675.68,0,10675.69,0,10601.72
Coinbase,btc_eur,9101.1,1601888100.154243,9099.46,0,9101.1,0,9065.59
Coinbase,btc_usd,10676.51,1601888100.653651,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9099.46,1601888100.883573,9099.46,0,9101.06,0,9065.59
Coinbase,btc_eur,9099.46,1601888101.580911,9099.46,0,9101.04,0,9065.59
Coinbase,eth_eur,298.65,1601888102.003981,298.64,0,298.7,0,297.51
Coinbase,eth_eur,298.64,1601888102.004538,298.64,0,298.7,0,297.51
Coinbase,btc_eur,9099.46,1601888102.161741,9099.46,0,9101.0,0,9065.59
Coinbase,btc_eur,9099.46,1601888102.267736,9099.46,0,9101.0,0,9065.59
Coinbase,btc_eur,9099.22,1601888104.652021,9099.22,0,9100.96,0,9065.59
Coinbase,eth_usd,350.29,1601888105.642469,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888105.644704,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888106.113865,350.29,0,350.3,0,347.93
Coinbase,btc_eur,9100.35,1601888109.077507,9100.35,0,9100.9,0,9065.59
Coinbase,btc_eur,9100.86,1601888114.92585,9100.35,0,9100.86,0,9065.59
Coinbase,btc_usd,10676.51,1601888115.262285,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9100.35,1601888116.444736,9100.35,0,9100.86,0,9065.59
Coinbase,btc_usd,10676.51,1601888116.489844,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.51,1601888120.998824,10676.5,0,10676.51,0,10601.72
Coinbase,eth_eur,298.62,1601888123.752662,298.62,0,298.7,0,297.51
Coinbase,btc_usd,10676.51,1601888124.937793,10676.5,0,10676.51,0,10601.72
Coinbase,eth_usd,350.29,1601888126.476644,350.29,0,350.3,0,347.93
Coinbase,btc_eur,9100.84,1601888126.609911,9100.35,0,9100.84,0,9065.59
Coinbase,eth_usd,350.29,1601888126.870516,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888126.871027,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888126.871441,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888126.872187,350.29,0,350.3,0,347.93
Coinbase,eth_usd,350.29,1601888126.872893,350.25,0,350.3,0,347.93
Coinbase,btc_eur,9100.84,1601888127.209837,9100.35,0,9100.84,0,9065.59
Coinbase,btc_eur,9100.65,1601888133.239883,9100.35,0,9100.66,0,9065.59
Coinbase,btc_eur,9100.66,1601888133.24245,9100.35,0,9100.66,0,9065.59
Coinbase,btc_usd,10676.51,1601888134.03719,10676.5,0,10676.51,0,10601.72
Coinbase,eth_usd,350.26,1601888134.055301,350.25,0,350.26,0,347.93
Coinbase,btc_usd,10676.51,1601888134.593287,10676.5,0,10676.51,0,10601.72
Coinbase,eth_eur,298.7,1601888136.491532,298.63,0,298.7,0,297.51
Coinbase,btc_usd,10676.51,1601888142.662267,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.51,1601888142.665258,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.51,1601888144.373887,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9100.66,1601888144.383498,9100.66,0,9100.67,0,9065.59
Coinbase,btc_eur,9100.66,1601888145.040297,9100.66,0,9100.67,0,9065.59
Coinbase,btc_usd,10676.51,1601888146.085146,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9100.67,1601888146.253825,9100.66,0,9100.67,0,9065.59
Coinbase,btc_usd,10676.51,1601888149.046755,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9100.66,1601888151.738781,9100.35,0,9100.79,0,9065.59
Coinbase,btc_eur,9100.35,1601888151.739309,9098.91,0,9100.79,0,9065.59
Coinbase,btc_eur,9098.91,1601888151.739964,9098.91,0,9100.79,0,9065.59
Coinbase,btc_usd,10676.51,1601888157.670698,10676.5,0,10676.51,0,10601.72
Coinbase,eth_usd,350.26,1601888162.227144,350.25,0,350.26,0,347.93
Coinbase,eth_usd,350.25,1601888163.242943,350.25,0,350.26,0,347.93
Coinbase,btc_eur,9099.68,1601888164.88837,9097.48,0,9099.68,0,9065.59
Coinbase,btc_eur,9098.23,1601888166.432118,9098.23,0,9099.67,0,9065.59
Coinbase,eth_eur,298.73,1601888169.202925,298.66,0,298.73,0,297.51
Coinbase,btc_usd,10676.51,1601888171.855535,10676.5,0,10676.51,0,10601.72
Coinbase,eth_usd,350.26,1601888180.753229,350.25,0,350.26,0,347.93
Coinbase,btc_usd,10676.51,1601888182.527673,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9098.48,1601888184.536633,9098.48,0,9099.78,0,9065.59
Coinbase,btc_usd,10676.51,1601888185.634215,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.51,1601888185.866117,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.51,1601888188.622952,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9099.97,1601888193.140951,9098.55,0,9099.97,0,9065.59
Coinbase,btc_usd,10676.51,1601888194.049102,10676.5,0,10676.51,0,10601.72
Coinbase,eth_usd,350.26,1601888194.630199,350.25,0,350.26,0,347.93
Coinbase,eth_usd,350.26,1601888194.631997,350.25,0,350.26,0,347.93
Coinbase,btc_usd,10676.51,1601888194.906795,10676.5,0,10676.51,0,10601.72
Coinbase,btc_eur,9098.03,1601888194.917683,9098.03,0,9099.91,0,9065.59
Coinbase,btc_usd,10676.5,1601888195.42541,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.5,1601888195.426229,10676.5,0,10676.51,0,10601.72
Coinbase,btc_usd,10676.5,1601888195.427325,10674.62,0,10676.51,0,10601.72
Coinbase,btc_usd,10674.62,1601888195.42814,10674.57,0,10676.51,0,10601.72
Coinbase,btc_usd,10674.57,1601888195.42861,10674.56,0,10676.51,0,10601.72
Coinbase,btc_usd,10674.56,1601888195.429667,10674.47,0,10676.51,0,10601.72
Coinbase,btc_usd,10674.47,1601888195.430331,10674.32,0,10676.51,0,10601.72
Coinbase,btc_usd,10674.32,1601888195.43084,10673.91,0,10676.51,0,10601.72
Coinbase,btc_usd,10673.91,1601888195.431387,10673.91,0,10676.51,0,10601.72
Coinbase,btc_eur,9097.75,1601888195.863173,9097.75,0,9099.87,0,9065.59
Coinbase,btc_usd,10674.48,1601888196.626148,10673.95,0,10674.49,0,10601.72
Coinbase,btc_usd,10673.95,1601888196.62664,10673.95,0,10674.49,0,10601.72
Coinbase,btc_usd,10673.95,1601888196.640861,10673.95,0,10673.96,0,10601.72
Coinbase,btc_eur,9099.66,1601888197.75098,9096.48,0,9099.66,0,9065.59
Coinbase,btc_usd,10673.96,1601888198.964272,10673.95,0,10673.96,0,10601.72
Coinbase,btc_eur,9099.55,1601888200.709452,9097.16,0,9099.56,0,9065.59
Coinbase,btc_eur,9099.56,1601888200.71005,9097.16,0,9099.58,0,9065.59
Coinbase,btc_eur,9099.58,1601888200.710729,9097.16,0,9099.58,0,9065.59
Coinbase,eth_usd,350.26,1601888201.626748,350.25,0,350.26,0,347.93
Coinbase,btc_usd,10673.96,1601888204.276662,10673.95,0,10673.96,0,10601.72
Coinbase,btc_usd,10675.69,1601888204.41244,10675.69,0,10675.7,0,10601.72
Coinbase,btc_usd,10675.7,1601888206.884317,10675.69,0,10675.7,0,10601.72
Coinbase,btc_usd,10675.7,1601888206.885431,10675.69,0,10675.7,0,10601.72
Coinbase,btc_eur,9097.98,1601888207.811057,9097.98,0,9099.81,0,9065.59
Coinbase,btc_eur,9099.77,1601888210.14605,9097.98,0,9099.77,0,9065.59
Coinbase,btc_usd,10675.0,1601888215.514464,10674.66,0,10675.0,0,10601.72
Coinbase,eth_usd,350.26,1601888216.944412,350.25,0,350.26,0,347.93
Coinbase,btc_eur,9099.67,1601888218.726119,9097.43,0,9099.68,0,9065.59
Coinbase,btc_eur,9099.68,1601888218.727098,9097.43,0,9099.68,0,9065.59
Coinbase,btc_usd,10674.68,1601888220.561847,10674.68,0,10674.69,0,10601.72
Coinbase,btc_usd,10674.69,1601888220.600728,10674.68,0,10674.69,0,10601.72
Coinbase,btc_eur,9099.61,1601888221.237776,9097.44,0,9099.61,0,9065.59
Coinbase,eth_usd,350.26,1601888223.175081,350.25,0,350.26,0,347.93
Coinbase,eth_usd,350.26,1601888223.175557,350.25,0,350.26,0,347.93
Coinbase,eth_usd,350.26,1601888223.175948,350.25,0,350.26,0,347.93
Coinbase,eth_usd,350.26,1601888223.176321,350.25,0,350.35,0,347.93
Coinbase,btc_usd,10674.51,1601888223.270602,10674.5,0,10674.51,0,10601.72
Coinbase,btc_usd,10674.51,1601888223.308273,10674.5,0,10674.51,0,10601.72
Coinbase,btc_usd,10674.51,1601888223.30871,10674.5,0,10674.51,0,10601.72
Coinbase,btc_usd,10676.47,1601888225.86789,10676.47,0,10676.48,0,10601.72
Coinbase,btc_eur,9099.99,1601888227.788237,9098.48,0,9099.99,0,9065.59
Coinbase,btc_usd,10676.01,1601888228.112649,10676.0,0,10676.01,0,10601.72
Coinbase,btc_usd,10676.27,1601888228.790756,10676.0,0,10676.27,0,10601.72
Coinbase,eth_usd,350.34,1601888233.281514,350.33,0,350.34,0,347.93
Coinbase,eth_usd,350.34,1601888233.288764,350.33,0,350.34,0,347.93
Coinbase,eth_eur,298.7,1601888239.819734,298.61,0,298.74,0,297.51
Coinbase,eth_eur,298.74,1601888239.846008,298.61,0,298.74,0,297.51
Coinbase,btc_eur,9099.84,1601888241.935639,9097.91,0,9099.85,0,9065.59
Coinbase,btc_eur,9099.85,1601888241.938116,9097.91,0,9099.85,0,9065.59
Coinbase,btc_eur,9097.93,1601888242.43909,9097.93,0,9099.84,0,9065.59
Coinbase,btc_usd,10675.01,1601888243.318312,10674.39,0,10675.01,0,10601.72
Coinbase,btc_usd,10674.95,1601888244.442992,10674.08,0,10674.95,0,10601.72
Coinbase,eth_usd,350.34,1601888249.575037,350.33,0,350.34,0,347.93
Coinbase,eth_eur,298.72,1601888249.590609,298.64,0,298.73,0,297.51
Coinbase,eth_eur,298.73,1601888249.591229,298.64,0,298.74,0,297.51
Coinbase,eth_eur,298.74,1601888249.591627,298.64,0,298.74,0,297.51
Coinbase,eth_usd,350.34,1601888250.097876,350.33,0,350.34,0,347.93
Coinbase,btc_usd,10674.22,1601888250.515003,10674.22,0,10674.56,0,10601.72
Coinbase,btc_usd,10674.8,1601888252.863092,10674.2,0,10674.8,0,10601.72
Coinbase,btc_usd,10674.26,1601888253.862389,10674.26,0,10674.8,0,10601.72
Coinbase,btc_eur,9097.46,1601888254.511656,9097.46,0,9099.28,0,9065.59
Coinbase,btc_usd,10674.8,1601888255.134651,10674.21,0,10674.83,0,10601.72
Coinbase,btc_usd,10674.83,1601888255.135138,10674.21,0,10674.83,0,10601.72
Coinbase,btc_usd,10674.84,1601888255.204339,10674.21,0,10674.84,0,10601.72
Coinbase,eth_usd,350.34,1601888255.991089,350.33,0,350.34,0,347.93
Coinbase,btc_usd,10674.81,1601888257.150285,10674.24,0,10674.82,0,10601.72
Coinbase,btc_usd,10674.82,1601888257.150839,10674.24,0,10674.82,0,10601.72
Coinbase,btc_usd,10675.43,1601888257.809228,10674.52,0,10675.43,0,10601.72
Coinbase,eth_usd,350.34,1601888257.92351,350.33,0,350.34,0,347.93
Coinbase,btc_eur,9097.46,1601888259.453855,9097.46,0,9099.92,0,9065.59
Coinbase,eth_usd,350.34,1601888262.914017,350.33,0,350.34,0,347.93
Coinbase,eth_usd,350.34,1601888266.490135,350.33,0,350.34,0,347.93
Coinbase,eth_usd,350.35,1601888267.544369,350.34,0,350.35,0,347.93
Coinbase,eth_usd,350.35,1601888268.003066,350.34,0,350.48,0,347.93
Coinbase,eth_eur,298.78,1601888269.316339,298.68,0,298.78,0,297.51
Coinbase,eth_usd,350.49,1601888271.86267,350.48,0,350.49,0,347.93
Coinbase,btc_usd,10676.01,1601888272.130703,10676.0,0,10676.01,0,10601.72
Coinbase,eth_usd,350.48,1601888272.81622,350.48,0,350.49,0,347.93
