Plateforme,Asset,Quote,Datetime,Bid,BidAmount,Ask,AskAmount,OpenInterest
Kraken,btc_usd,10684.0,1601888072.614331,10684.0,0.91251393,10685.8,1.13505257,10692.56385
Kraken,btc_eur,9097.0,1601888072.615148,9095.8,2.0,9097.0,0.835488,9117.11537
Kraken,eth_usd,350.4,1601888072.615586,350.4,40.04657017,350.41,51.39086264,352.70218
Kraken,eth_eur,298.61,1601888072.616,298.61,61.94508802,298.62,5.8,300.50351
Kraken,btc_eur,9096.9,1601888074.880092,9096.1,0.70251327,9096.9,0.3674,9117.11496
Kraken,btc_eur,9096.9,1601888075.210694,9096.5,0.70253957,9096.9,0.33639299,9117.11456
Kraken,btc_eur,9096.9,1601888076.011557,9096.5,0.70253957,9096.9,0.31411624,9117.11428
Kraken,btc_eur,9098.0,1601888080.033045,9097.2,0.03628741,9097.9,0.00783473,9117.11401
Kraken,btc_eur,9097.1,1601888080.94813,9097.1,0.35718451,9098.0,0.68002926,9117.11315
Kraken,btc_eur,9097.6,1601888081.451643,9097.1,0.35718451,9097.6,1.9780434,9117.11288
Kraken,btc_eur,9098.0,1601888087.748305,9097.4,0.01814371,9098.0,3.05633766,9117.11259
Kraken,btc_eur,9097.8,1601888098.620698,9097.0,0.70250022,9097.8,0.01582628,9117.11257
Kraken,btc_eur,9097.8,1601888100.097543,9097.0,0.70250022,9097.8,0.00924904,9117.11249
Kraken,btc_usd,10681.8,1601888103.492793,10681.8,0.31961745,10684.5,7.75789072,10692.5623
Kraken,btc_eur,9098.4,1601888105.889872,9096.0,0.02259104,9098.4,2.69160602,9117.11236
Kraken,btc_eur,9096.0,1601888105.992318,9096.0,0.01810358,9098.4,2.69160602,9117.1123
Kraken,btc_eur,9098.2,1601888108.844005,9096.5,0.70251165,9098.2,0.395,9117.08506
Kraken,eth_eur,298.6,1601888121.361682,298.6,17.64430002,298.62,38.73345417,300.50048
Kraken,eth_eur,298.61,1601888121.449693,298.6,17.64430002,298.61,57.50672,300.5004
Kraken,btc_eur,9098.2,1601888128.212574,9097.0,0.21,9098.2,2.6853427,9117.08486
Kraken,eth_eur,298.62,1601888128.882698,298.61,10.005,298.62,4.42345417,300.50031
Kraken,eth_eur,298.62,1601888129.000329,298.61,10.005,298.62,4.39019625,300.50029
Kraken,eth_usd,350.41,1601888130.611774,350.4,43.4950583,350.41,6.91804281,352.70217
Kraken,btc_eur,9098.5,1601888140.257613,9097.9,0.485,9098.5,2.1921084,9117.08474
Kraken,btc_eur,9098.4,1601888156.448788,9097.6,0.17,9098.4,0.01389773,9117.08471
Kraken,btc_eur,9097.6,1601888160.180156,9097.5,0.02877,9097.6,0.34248805,9117.08468
Kraken,eth_eur,298.64,1601888167.309467,298.63,27.68560459,298.64,32.10682521,300.49924
Kraken,btc_eur,9097.6,1601888168.570299,9097.5,0.55877,9097.6,0.06435334,9117.08452
Kraken,btc_usd,10681.7,1601888169.043836,10681.6,0.002,10681.7,6.86549466,10692.56214
Kraken,btc_eur,9097.5,1601888169.075597,9097.5,0.54728971,9097.6,0.06435334,9117.08438
Kraken,btc_eur,9097.6,1601888171.106347,9097.5,0.57228971,9097.6,0.06047748,9117.08433
Kraken,btc_eur,9097.6,1601888172.443267,9097.5,0.57228971,9097.6,0.24319713,9117.08405
